origin,community_url,ends_at,gallery_url,has_finished,has_started,hashtags,hostname,id,location,location_lat,location_lon,logo_url,name,starts_at,summary,webpage_url
hack.opendata.ch,https://forum.schoolofdata.ch/t/26-28-10-open-cultural-data-hackathon/364/1,"Sun, 28 Oct 2018 14:00:00 GMT",,True,False,,Swiss National Museum,23,Zürich,0.0,0.0,https://glam.opendata.ch/files/2014/05/glam2-200.png,#GLAMhack 2018,"Fri, 26 Oct 2018 09:00:00 GMT",Visit the GLAMhack wiki for details about datasets and other resources.,https://make.opendata.ch/wiki/event:2018-10
hack.opendata.ch,https://twitter.com/opendatach,"Sun, 09 Sep 2018 12:00:00 GMT",,True,False,,Opendata.ch & V-Zug,21,"Zugorama, Zug",0.0,0.0,https://food.opendata.ch/wp-content/themes/food.opendata.ch/images/logo.png,Open Food Data x Smart Kitchen Hackdays,"Fri, 07 Sep 2018 14:30:00 GMT","At the Hackdays at Zugorama in Zug, we added hardware aspects and challenges under the slogan: ""Open Food Data meets Smart Kitchen"".",https://food.opendata.ch#hackdays
hack.opendata.ch,https://team.opendata.ch/signup_user_complete/?id=mfshrwcpyjyfdxui5g885erw5o,"Tue, 03 Jul 2018 20:00:00 GMT",,True,False,,Opendata.ch,19,Fachhochschule St. Gallen ,0.0,0.0,https://make.opendata.ch/files/2013/01/Make.OpenData.ch-Logo1.png,[Un]conference 2018,"Sun, 03 Jun 2018 12:00:00 GMT","A community showcase, supported by «IT rockt!», of new and upcoming open datasets and projects.",http://Opendata.ch/2018
hack.opendata.ch,https://agricathon.eventbrite.fr/,"Fri, 18 May 2018 23:59:00 GMT",,True,False,,Institut Informatique de gestion,20,HES-SO Valais-Wallis,0.0,0.0,https://upload.wikimedia.org/wikipedia/commons/b/bf/HES-SO_Valais-Wallis.png,Agricathon 2018,"Fri, 18 May 2018 08:00:00 GMT",Un événement pour tout-e-s souhaitant collaborer à la production de prototypes d’outils et de services innovants en lien avec l’agriculture.,https://agricathon.eventbrite.fr/
hack.opendata.ch,https://team.opendata.ch/signup_user_complete/?id=d5sor7paep8gtxtbah94yozjea,"Sat, 17 Feb 2018 15:30:00 GMT",,True,False,,Opendata.ch ,18,Alte Markthalle,0.0,0.0,https://food.opendata.ch/wp-content/themes/food.opendata.ch/images/logo.png,Open Food Hackdays Basel,"Fri, 16 Feb 2018 08:30:00 GMT",At the «Open Food Data Hackdays» diverse food-interested actors are united. ,https://food.opendata.ch#hackdays
hack.opendata.ch,,"Sun, 28 Jan 2018 14:00:00 GMT",,True,False,,Opendata.ch,16,EPFL,0.0,0.0,https://food.opendata.ch/wp-content/themes/food.opendata.ch/images/logo.png,Open Food Hackdays Lausanne,"Sat, 27 Jan 2018 08:00:00 GMT",At the «Open Food Data Hackdays» diverse food-interested actors are united.,https://food.opendata.ch/
hack.opendata.ch,https://opendatach-slack.herokuapp.com/,"Sat, 28 Oct 2017 12:00:00 GMT",,True,False,,Arosa Tourismus,9,Arosa,0.0,0.0,https://opendata.ch/wp-content/themes/opendata/images/OpenData.ch-Logo.png,Open Tourism Data Hackdays,"Fri, 27 Oct 2017 09:00:00 GMT",At our hackathon in Arosa we explored the topic of innovation in and the future of #opentourism.,http://tourism.opendata.ch
hack.opendata.ch,https://twitter.com/hashtag/hackedusierre?src=hash,"Fri, 19 May 2017 23:59:00 GMT",,True,False,,HES-SO Valais-Wallis,8,Sierre - Techno-Pôle (Salle Capella),0.0,0.0,https://upload.wikimedia.org/wikipedia/commons/b/bf/HES-SO_Valais-Wallis.png,Hackons l'éducation!,"Fri, 19 May 2017 08:00:00 GMT",Le vendredi 19 mai 2017 aura lieu à Sierre au TechnoPôle pendant toute une journée un hackathon sur les nouveaux outils pédagogiques.,https://www.hevs.ch/hackedu
hack.opendata.ch,http://opendataday.org/#map,"Sat, 04 Mar 2017 18:00:00 GMT",,True,False,,Zurich R User Group,7,University of Zurich,0.0,0.0,,Open Data Day Zurich,"Sat, 04 Mar 2017 09:00:00 GMT",Can you imagine ways to improve public transport in your city using Linked Open Data? ,http://zurich-r-user-group.github.io/hackathon.html
hack.opendata.ch,,"Sat, 11 Feb 2017 14:00:00 GMT",,True,False,,Opendata.ch,6,Lausanne & Zurich,0.0,0.0,https://food.opendata.ch/wp-content/themes/food.opendata.ch/images/logo.png,Open Food Hackdays 2017,"Fri, 10 Feb 2017 09:00:00 GMT",,https://food.opendata.ch/
hack.opendata.ch,https://twitter.com/search?q=%23climathon+zurich&ref_src=twsrc%5Etfw,"Sat, 29 Oct 2016 17:00:00 GMT",,True,False,,City of Zürich,4,Impact Hub Zürich,0.0,0.0,https://blog.datalets.ch/workshops/2016/climathon/zurich.png,The Climathon,"Fri, 28 Oct 2016 15:30:00 GMT","The word ""hack"" is used to describe how multiple technologies can be used together in a new and innovative way.",https://climathon.climate-kic.org/zurich
